時間戳記,姓名,年齡,性別,家庭台語背景,臺語程度（口語）,臺語程度（書面）,聲音判斷依據（開放題）,1_呈現順序,1_回答結果,1_選項文字,1_回答時間毫秒,2_呈現順序,2_回答結果,2_選項文字,2_回答時間毫秒,3_呈現順序,3_回答結果,3_選項文字,3_回答時間毫秒,4_呈現順序,4_回答結果,4_選項文字,4_回答時間毫秒,5_呈現順序,5_回答結果,5_選項文字,5_回答時間毫秒,6_呈現順序,6_回答結果,6_選項文字,6_回答時間毫秒,7_呈現順序,7_回答結果,7_選項文字,7_回答時間毫秒,8_呈現順序,8_回答結果,8_選項文字,8_回答時間毫秒,9_呈現順序,9_回答結果,9_選項文字,9_回答時間毫秒,10_呈現順序,10_回答結果,10_選項文字,10_回答時間毫秒,11_呈現順序,11_回答結果,11_選項文字,11_回答時間毫秒,12_呈現順序,12_回答結果,12_選項文字,12_回答時間毫秒,13_呈現順序,13_回答結果,13_選項文字,13_回答時間毫秒,14_呈現順序,14_回答結果,14_選項文字,14_回答時間毫秒,15_呈現順序,15_回答結果,15_選項文字,15_回答時間毫秒,16_呈現順序,16_回答結果,16_選項文字,16_回答時間毫秒,17_呈現順序,17_回答結果,17_選項文字,17_回答時間毫秒,18_呈現順序,18_回答結果,18_選項文字,18_回答時間毫秒,19_呈現順序,19_回答結果,19_選項文字,19_回答時間毫秒,20_呈現順序,20_回答結果,20_選項文字,20_回答時間毫秒,21_呈現順序,21_回答結果,21_選項文字,21_回答時間毫秒,22_呈現順序,22_回答結果,22_選項文字,22_回答時間毫秒,23_呈現順序,23_回答結果,23_選項文字,23_回答時間毫秒,24_呈現順序,24_回答結果,24_選項文字,24_回答時間毫秒,25_呈現順序,25_回答結果,25_選項文字,25_回答時間毫秒,26_呈現順序,26_回答結果,26_選項文字,26_回答時間毫秒,27_呈現順序,27_回答結果,27_選項文字,27_回答時間毫秒,28_呈現順序,28_回答結果,28_選項文字,28_回答時間毫秒,29_呈現順序,29_回答結果,29_選項文字,29_回答時間毫秒,30_呈現順序,30_回答結果,30_選項文字,30_回答時間毫秒
2026/3/29,,65歲以上,女,家裡不太講台語，長大後才學會,對話流利,完全沒學過如何書寫/閱讀台語,依據敘述的確定性來做答案,7,1,1,1446,3,2,2,16357,11,2,2,1396,12,1,1,14100,29,1,1,1024,25,1,1,2788,20,1,1,959,21,1,1,870,8,1,1,271,6,1,1,16210,23,4,4,6867,16,2,2,47074,5,2,2,861,9,2,2,3136,26,2,2,15646,1,4,4,17011,19,3,3,4938,2,2,2,165,18,1,1,3754,24,1,1,682,15,4,4,860,4,4,4,320,30,5,5,299,14,4,4,9835,22,5,5,3615,13,4,4,656,27,4,4,174,28,5,5,1479,10,4,4,10390,17,4,4,25004
2026/3/29,,18–25,女,在家聽得懂台語，但不會說,可溝通，但不順暢,完全沒學過如何書寫/閱讀台語,,25,3,3,13,5,4,4,1441,7,3,3,661,16,3,3,811,4,3,3,1167,9,4,4,981,28,3,3,19465,21,4,4,464,2,4,4,1185,15,3,3,4659,23,4,4,59170,20,4,4,1195,22,3,3,369,19,4,4,3087,11,4,4,8674,10,2,2,509,1,4,4,9303,12,3,3,117605,18,3,3,634,13,3,3,704,6,3,3,793,3,4,4,3678,24,4,4,1064,29,4,4,1122,27,4,4,1803,26,4,4,660,30,4,4,300,8,3,3,899,14,4,4,468,17,4,4,3483
2026/3/29,,26–35,女,在家聽得懂台語，但不會說,可溝通，但不順暢,完全沒學過如何書寫/閱讀台語,,12,2,2,376573,25,1,1,2281,9,1,1,604,6,1,1,103,16,1,1,2139,15,3,3,1415,4,1,1,221,20,1,1,423,24,3,3,255,8,2,2,36546,19,1,1,1238,1,1,1,5553,27,1,1,371,10,2,2,10635,18,1,1,400,14,3,3,725,2,5,5,1105,13,3,3,8173,22,2,2,690,3,1,1,884,5,1,1,2903,26,5,5,27,11,3,3,10415,17,5,5,627,23,5,5,634,29,5,5,658,21,4,4,6116,30,5,5,362,28,5,5,344,7,5,5,646
2026/3/29,,26–35,男,家裡以台語為主要語言，從小聽與說,對話流利,有大概學過讀寫台語文，但不常實際使用,我在回答問題的時候是依據春嬌跟志明是做動作的對象還是一起做事情來判斷，但中間有點動搖（？）有時候覺得好像少一兩個字，有時候又覺得好像少一兩個字意思也還是成立，所以或許標準也沒有從頭到尾都一致……,28,2,2,57824,9,1,1,261,4,2,2,3743,7,1,1,13600,17,1,1,475,19,3,3,162,1,1,1,74003,22,3,3,5201,11,3,3,4002,29,4,4,981,12,3,3,12379,3,2,2,14476,15,2,2,12110,27,2,2,294,13,1,1,258,5,2,2,4425,16,3,3,256,30,2,2,3853,26,2,2,404,18,3,3,406,8,2,2,2330,21,3,3,10082,14,3,3,336,25,2,2,2840,23,3,3,6605,10,4,4,1645,24,5,5,515,6,5,5,107849,20,3,3,263,2,3,3,9423
2026/3/29,,65歲以上,男,家裡以台語為主要語言，從小聽與說,對話流利,有大概學過讀寫台語文，但不常實際使用,,14,1,1,161,30,1,1,1117,22,1,1,16698,4,1,1,798,11,1,1,667,19,3,3,6844,29,1,1,6053,23,1,1,401,7,1,1,604,12,1,1,25415,8,3,3,13766,26,3,3,18393,17,3,3,12505,2,3,3,1472,10,5,5,454,24,1,1,9140,28,3,3,8770,25,5,5,289,18,3,3,1050,15,3,3,972,1,3,3,23498,3,3,3,4149,13,5,5,862,5,4,4,4487,16,3,3,3324,20,3,3,179,6,5,5,1973,9,5,5,12097,21,5,5,29701,27,3,3,410
2026/3/29,,56–65,男,家裡以台語為主要語言，從小聽與說,對話流利,完全沒學過如何書寫/閱讀台語,,2,3,3,448,26,3,3,615,27,3,3,662,3,3,3,53,23,3,3,580,13,3,3,654,1,3,3,1837,14,3,3,743,7,3,3,50,8,3,3,1066,16,3,3,726,20,3,3,565,12,3,3,79,11,3,3,697,24,3,3,37,22,3,3,537,21,3,3,557,15,3,3,680,5,3,3,977,17,3,3,705,30,3,3,825,6,3,3,413,19,3,3,625,29,3,3,637,9,3,3,732,18,3,3,732,4,3,3,2615,10,3,3,44,28,3,3,614,25,3,3,638
2026/3/29,,26–35,女,家裡以台語為主要語言，從小聽與說,對話流利,有大概學過讀寫台語文，但不常實際使用,因照平常的生活及對話經驗下去判斷的,29,1,1,13852,16,5,5,3737,18,3,3,3029,4,3,3,9160,26,5,5,6928,23,3,3,152,17,5,5,357,10,3,3,14472,20,5,5,25,19,3,3,7761,11,1,1,223,30,3,3,342,28,1,1,1621,27,1,1,367,24,5,5,61,3,3,3,5510,21,1,1,302,14,3,3,611,25,3,3,5697,1,3,3,21394,12,5,5,505,9,5,5,277,8,5,5,10936,13,5,5,14,22,5,5,1048,15,5,5,665,2,5,5,907,5,5,5,3654,6,5,5,704,7,3,3,3617
2026/3/29,,36–45,女,家裡以台語為主要語言，從小聽與說,對話流利,完全沒學過如何書寫/閱讀台語,,13,5,5,859,26,1,1,10958,29,5,5,137,18,1,1,1127,12,2,2,688,17,1,1,1257,10,1,1,4253,24,5,5,17,22,5,5,9941,14,2,2,4251,6,4,4,16,2,1,1,266,11,5,5,977,8,4,4,3854,1,1,1,3836,5,1,1,99,19,1,1,692,20,5,5,3,28,1,1,339,21,5,5,2698,30,5,5,1589,15,5,5,724,16,5,5,558,3,4,4,1917,27,5,5,585,23,5,5,176,9,1,1,1840,7,5,5,891,4,4,4,3026,25,5,5,544
2026/3/29,,18–25,女,在家聽得懂台語，但不會說,可溝通，但不順暢,有大概學過讀寫台語文，但不常實際使用,第一直覺，然後會思考是單向傳達或是雙方討論？,18,1,1,1012,27,2,2,648,7,5,5,430,9,4,4,213,21,1,1,2463,12,2,2,12967,26,2,2,1286,13,2,2,6582,8,5,5,1397,25,1,1,763,22,1,1,5532,30,2,2,1112,28,1,1,1233,6,2,2,1127,29,2,2,10066,11,4,4,8367,1,5,5,3483,24,4,4,5987,20,1,1,603,3,5,5,13111,15,1,1,1039,10,5,5,535,2,5,5,801,17,5,5,389,23,5,5,660,4,5,5,794,5,4,4,480,14,2,2,1025,19,5,5,575,16,5,5,541
2026/3/29,,46–55,女,家裡以台語為主要語言，從小聽與說,對話流利,有大概學過讀寫台語文，但不常實際使用,,15,3,3,644,4,2,2,1572,8,3,3,862,10,2,2,1017,19,3,3,3760,18,3,3,3535,2,1,1,739,28,2,2,1658,29,2,2,1252,22,3,3,682,5,2,2,57917,13,3,3,18760,12,4,4,1009,23,3,3,51,3,3,3,76579,27,3,3,79,26,3,3,3571,20,3,3,381,11,3,3,1079,30,3,3,1077,16,4,4,1044,6,4,4,260,1,4,4,20917,7,5,5,1815,14,4,4,683,24,3,3,1084,25,4,4,1714,9,4,4,842,17,4,4,3082,21,3,3,105
