時間戳記,姓名,年齡,性別,家庭台語背景,臺語程度（口語）,臺語程度（書面）,聲音判斷依據（開放題）,1_呈現順序,1_回答結果,1_選項文字,1_回答時間毫秒,2_呈現順序,2_回答結果,2_選項文字,2_回答時間毫秒,3_呈現順序,3_回答結果,3_選項文字,3_回答時間毫秒,4_呈現順序,4_回答結果,4_選項文字,4_回答時間毫秒,5_呈現順序,5_回答結果,5_選項文字,5_回答時間毫秒,6_呈現順序,6_回答結果,6_選項文字,6_回答時間毫秒,7_呈現順序,7_回答結果,7_選項文字,7_回答時間毫秒,8_呈現順序,8_回答結果,8_選項文字,8_回答時間毫秒,9_呈現順序,9_回答結果,9_選項文字,9_回答時間毫秒,10_呈現順序,10_回答結果,10_選項文字,10_回答時間毫秒,11_呈現順序,11_回答結果,11_選項文字,11_回答時間毫秒,12_呈現順序,12_回答結果,12_選項文字,12_回答時間毫秒,13_呈現順序,13_回答結果,13_選項文字,13_回答時間毫秒,14_呈現順序,14_回答結果,14_選項文字,14_回答時間毫秒,15_呈現順序,15_回答結果,15_選項文字,15_回答時間毫秒,16_呈現順序,16_回答結果,16_選項文字,16_回答時間毫秒,17_呈現順序,17_回答結果,17_選項文字,17_回答時間毫秒,18_呈現順序,18_回答結果,18_選項文字,18_回答時間毫秒,19_呈現順序,19_回答結果,19_選項文字,19_回答時間毫秒,20_呈現順序,20_回答結果,20_選項文字,20_回答時間毫秒,21_呈現順序,21_回答結果,21_選項文字,21_回答時間毫秒,22_呈現順序,22_回答結果,22_選項文字,22_回答時間毫秒,23_呈現順序,23_回答結果,23_選項文字,23_回答時間毫秒,24_呈現順序,24_回答結果,24_選項文字,24_回答時間毫秒,25_呈現順序,25_回答結果,25_選項文字,25_回答時間毫秒,26_呈現順序,26_回答結果,26_選項文字,26_回答時間毫秒,27_呈現順序,27_回答結果,27_選項文字,27_回答時間毫秒,28_呈現順序,28_回答結果,28_選項文字,28_回答時間毫秒,29_呈現順序,29_回答結果,29_選項文字,29_回答時間毫秒,30_呈現順序,30_回答結果,30_選項文字,30_回答時間毫秒
2026/3/28,,26–35,男,在家聽得懂台語，但不會說,對話流利,書寫/閱讀臺語文無礙,憑直覺,28,1,1,110,9,1,1,323,1,1,1,838,22,1,1,573,8,3,3,610,14,3,3,707,18,2,2,761,10,1,1,658,12,2,2,663,20,1,1,962,13,3,3,527,17,3,3,632,19,3,3,355,2,3,3,918,4,3,3,2778,26,3,3,4495,29,3,3,534,15,2,2,191,3,1,1,7253,23,3,3,669,6,4,4,594,25,5,5,706,16,3,3,689,11,5,5,506,24,4,4,675,7,5,5,1009,21,5,5,645,27,4,4,2456,5,5,5,752,30,5,5,393
2026/3/28,,26–35,女,家裡以台語為主要語言，從小聽與說,可溝通，但不順暢,完全沒學過如何書寫/閱讀台語,長期跟長輩講台語的直覺,28,2,2,3953,3,2,2,10224,19,4,4,9615,24,2,2,605,1,2,2,1866,10,4,4,608,23,2,2,503,20,2,2,1131,27,2,2,742,2,2,2,600,5,2,2,579,17,4,4,540,18,2,2,631,29,2,2,558,11,4,4,1106,9,2,2,556,26,4,4,488,13,2,2,2900,21,3,3,2493,4,2,2,1120,7,4,4,631,30,4,4,806,25,4,4,470,15,4,4,585,6,4,4,2887,12,4,4,923,16,4,4,274,22,4,4,1176,8,4,4,640,14,1,1,600
2026/3/28,,26–35,男,家裡以台語為主要語言，從小聽與說,對話流利,書寫/閱讀臺語文無礙,左側聽起來都是一個人講、右側聽起來都是兩個人講；有明確哪個更好的，通常是語意不合邏輯或不符合現實，只有極少數在文法上也感覺不成立。或許有些和慣用用語的結構有關係。,13,1,1,838,19,1,1,501,1,2,2,2649,26,1,1,1360,22,1,1,674,27,3,3,893,25,1,1,843,18,1,1,2076,24,3,3,712,21,1,1,3607,3,1,1,1739,17,2,2,597,16,3,3,521,29,1,1,573,23,3,3,1609,2,3,3,1806,14,3,3,528,28,2,2,1172,20,2,2,3252,10,1,1,607,5,4,4,5343,4,3,3,523,30,4,4,491,15,5,5,2440,8,5,5,571,12,5,5,600,11,5,5,472,6,5,5,14641,7,4,4,3446,9,5,5,380
2026/3/28,,26–35,男,在家聽得懂台語，但不會說,可溝通，但不順暢,有大概學過讀寫臺語文，但不常實際使用,很看家庭背景，不過生長過程中，會學習到他人的口音，我認為口音的多樣性來自這裡。謝謝,12,3,3,142,29,3,3,53,16,3,3,34,13,3,3,1648,1,5,5,2302,8,3,3,628,15,3,3,435,22,4,4,587,3,5,5,67,9,3,3,142,14,3,3,34,5,4,4,472,21,3,3,641,17,3,3,413,7,4,4,1187,25,3,3,932,28,3,3,1024,11,3,3,733,6,3,3,904,10,3,3,1209,20,3,3,544,18,3,3,570,2,5,5,1103,19,4,4,359,23,4,4,309,24,4,4,457,4,3,3,1734,30,3,3,2092,27,4,4,875,26,3,3,441
2026/3/28,,18–25,男,家裡以台語為主要語言，從小聽與說,對話流利,書寫/閱讀臺語文無礙,語意、習慣,1,2,2,1817,21,2,2,617,28,1,1,449,14,2,2,1073,15,2,2,426,19,3,3,7319,11,1,1,562,17,1,1,592,6,1,1,106852,23,1,1,778,7,3,3,863,30,2,2,1446,9,3,3,2573,16,1,1,419,18,3,3,4811,12,3,3,521,5,3,3,2089,27,3,3,447,2,2,2,1320,26,3,3,481,29,4,4,1973,13,4,4,651,4,4,4,248,20,5,5,595,24,4,4,531,25,4,4,401,10,5,5,2578,8,5,5,629,22,5,5,1063,3,5,5,115434
2026/3/28,,26–35,男,家裡不太講台語，長大後才學會,可溝通，但不順暢,有大概學過讀寫臺語文，但不常實際使用,,9,3,3,477,5,2,2,1143,8,2,2,345,22,2,2,966,3,2,2,3251,20,3,3,2595,28,2,2,421,27,3,3,515,23,4,4,1102,13,3,3,444,10,3,3,4872,24,4,4,1915,16,3,3,242,25,3,3,431,21,2,2,817,15,3,3,147,6,3,3,487,14,3,3,421,30,1,1,522,1,3,3,8653,12,1,1,2073,29,3,3,601,26,2,2,365,19,3,3,374,7,4,4,296,17,3,3,719,11,4,4,412,18,3,3,655,2,2,2,6146,4,3,3,319
2026/3/28,,26–35,男,家裡以台語為主要語言，從小聽與說,可溝通，但不順暢,有大概學過讀寫臺語文，但不常實際使用,明明是一樣的句構，但說不上來為什麼有時選Ａ有時選Ｂ，體感上就是有點差異，又有時也分不出來哪個比較對，滿有趣的,5,3,3,760,17,2,2,394,29,2,2,314,11,2,2,22289,20,2,2,365,22,2,2,244,3,4,4,8953,30,2,2,337,6,4,4,135,28,2,2,252,14,4,4,535,18,2,2,369,16,2,2,407,25,2,2,347,8,2,2,1288,19,4,4,721,2,2,2,2175,27,4,4,251,1,2,2,72744,10,3,3,587,13,2,2,170,7,4,4,415,15,2,2,320,4,3,3,555,12,3,3,462,26,4,4,404,9,3,3,2993,21,3,3,519,24,4,4,8041,23,3,3,494
2026/3/28,,18–25,男,家裡以台語為主要語言，從小聽與說,對話流利,書寫/閱讀臺語文無礙,,28,1,1,54038,29,1,1,375,24,2,2,332,8,1,1,741,22,1,1,357,17,3,3,384,13,1,1,86,2,1,1,716,25,3,3,530,26,4,4,17016,27,3,3,228,12,1,1,376,4,3,3,1160,9,1,1,568,23,1,1,2216,15,3,3,382,20,3,3,3352,30,1,1,6267,5,1,1,606,14,1,1,414,21,2,2,13152,10,3,3,4523,16,3,3,330,11,3,3,451,19,5,5,321,3,5,5,570,7,5,5,643,6,4,4,10194,1,4,4,14103,18,3,3,132
2026/3/28,,26–35,男,家裡不太講台語，長大後才學會,可溝通，但不順暢,有大概學過讀寫臺語文，但不常實際使用,知道兩者的區別，依照直覺選擇，但肚子太餓了，可能血糖有點低，語音資訊一進入腦袋就變得無法判斷,5,4,4,5402,14,4,4,4812,8,2,2,23361,4,4,4,12772,21,1,1,1104,26,3,3,53,15,1,1,142924,22,2,2,5582,10,3,3,1023,19,1,1,2033,3,4,4,248250,12,1,1,242,2,2,2,43263,6,3,3,5990,23,1,1,5636,1,3,3,15251,25,3,3,4640,13,1,1,1355,30,3,3,20742,17,2,2,1325,20,3,3,15128,11,4,4,696,27,3,3,301,29,3,3,9450,9,1,1,3601,7,5,5,3228,28,5,5,1767,16,4,4,3397,24,3,3,434,18,3,3,348
2026/3/28,,26–35,男,家裡不太講台語，長大後才學會,聽得懂，但不太會說,有大概學過讀寫臺語文，但不常實際使用,"方向性
A → B = 共 ka7
A →← B = 佮 kah",12,1,1,421,14,1,1,14850,21,2,2,5814,7,1,1,373,1,1,1,4517,19,2,2,8901,13,2,2,1321,30,2,2,471,26,2,2,1551,24,1,1,4103,5,2,2,6707,20,2,2,376,9,2,2,1039,4,1,1,439,2,3,3,64308,27,5,5,708,10,3,3,7948,16,4,4,4677,6,3,3,518,3,1,1,1298,23,5,5,4720,28,5,5,342,29,3,3,432,8,5,5,3657,18,4,4,11901,25,5,5,399,11,1,1,884,15,4,4,12020,17,5,5,8802,22,5,5,379
2026/3/28,,26–35,女,在家聽得懂台語，但不會說,可溝通，但不順暢,完全沒學過如何書寫/閱讀台語,我台語沒有很好  但我自己是有點都感覺A有種給的感覺  B有種和的感覺吧  B比較強烈  不過大多還是習慣B的感覺 甚至我覺得可以全選B 但也些我還是覺得兩個都可以,25,3,3,351,24,3,3,471,8,4,4,521,23,3,3,335,21,3,3,828,13,3,3,356,7,4,4,658,26,3,3,262,22,3,3,409,1,4,4,14170,15,4,4,266,16,3,3,275,9,2,2,463,19,3,3,604,6,4,4,947,11,3,3,461,5,3,3,1747,28,2,2,554,17,3,3,293,29,2,2,744,27,3,3,287,2,4,4,4950,30,3,3,377,18,4,4,297,10,4,4,1537,4,4,4,429,20,4,4,2461,3,3,3,9821,12,3,3,1682,14,2,2,299
2026/3/28,,36–45,女,在家聽得懂台語，但不會說,對話流利,有大概學過讀寫台語文，但不常實際使用,如果判斷成“對志明”我就會傾向選A，如果判斷成“和志明一起”我就會傾向選B。有些我選都可以，是因為兩邊解釋都可以成立。例如“春嬌對志明說台語”或是“春嬌和志明說台語”。,2,1,1,1499,24,1,1,72,18,2,2,5908,12,2,2,368,16,2,2,882,17,3,3,632,14,2,2,1123,11,2,2,548,28,2,2,519,9,3,3,1688,26,2,2,250,13,3,3,138,21,3,3,562,23,3,3,542,20,3,3,533,25,4,4,825,8,3,3,116,3,4,4,929,30,3,3,14717,29,3,3,46,7,5,5,212,15,4,4,480,19,4,4,685,10,5,5,408,6,5,5,1952,1,4,4,2212,4,3,3,1290,5,5,5,4648,27,4,4,244,22,3,3,278
2026/3/28,,26–35,女,家裡不太講台語，長大後才學會,對話流利,書寫/閱讀台語文無礙,A是kā，B是kap。若是句的意思干焦有對啥物人做啥物代誌就揀A，若是「和」會意思揀B，話句的意思兩个攏通就揀都好。,23,3,3,2468,21,1,1,414,1,5,5,1683,29,1,1,741,27,1,1,392,2,1,1,4362,10,1,1,557,15,3,3,3335,11,1,1,657,25,1,1,405,7,3,3,1733,13,1,1,9960,3,1,1,1277,24,1,1,381,8,3,3,1339,14,1,1,386,18,3,3,549,4,1,1,2882,26,3,3,501,16,1,1,398,19,3,3,394,12,3,3,452,28,3,3,366,5,3,3,525,22,3,3,3284,20,3,3,476,30,5,5,1347,6,3,3,282,17,3,3,374,9,5,5,428
2026/3/28,,26–35,女,家裡以台語為主要語言，從小聽與說,對話流利,有大概學過讀寫台語文，但不常實際使用,,21,1,1,2274,28,1,1,3886,9,1,1,3153,6,2,2,2735,27,2,2,616,26,3,3,1735,29,2,2,1717,13,4,4,258,24,2,2,413,12,2,2,747,16,1,1,228,2,3,3,5271,18,2,2,686,10,2,2,1778,22,4,4,1165,14,2,2,478,5,3,3,4955,1,2,2,18607,19,2,2,23,4,2,2,2819,8,2,2,2495,7,4,4,2429,11,3,3,2184,23,5,5,954,25,5,5,467,30,4,4,412,20,4,4,378,17,4,4,878,15,5,5,618,3,4,4,131
2026/3/28,,36–45,女,家裡以台語為主要語言，從小聽與說,對話流利,有大概學過讀寫台語文，但不常實際使用,,5,1,1,1118,22,1,1,231,2,1,1,1131,27,1,1,1430,3,1,1,1972,7,1,1,339,29,1,1,3487,18,1,1,693,10,1,1,50,1,1,1,171,13,1,1,1128,8,1,1,483,30,1,1,539,19,1,1,4924,25,4,4,1849,14,1,1,3712,20,1,1,11988,17,5,5,664,24,1,1,325,28,2,2,11221,23,1,1,1408,15,5,5,534,11,5,5,709,6,5,5,583,9,2,2,13079,16,5,5,632,26,4,4,2479,12,5,5,2895,21,5,5,3595,4,5,5,3042
2026/3/28,,26–35,男,在家聽得懂台語，但不會說,可溝通，但不順暢,完全沒學過如何書寫/閱讀台語,,14,1,1,2087,9,1,1,25,27,1,1,92,24,1,1,5538,15,2,2,9024,26,3,3,56,17,1,1,1999,22,2,2,302,1,2,2,19297,30,1,1,514,8,1,1,2984,21,2,2,272,7,2,2,10732,20,3,3,1083,11,3,3,3418,12,3,3,5954,28,3,3,3918,13,2,2,24955,23,2,2,816,4,1,1,2098,2,3,3,19002,29,5,5,1828,25,3,3,31,19,4,4,84,3,5,5,3958,10,5,5,194,5,5,5,677,18,5,5,228,6,5,5,135,16,4,4,32
2026/3/28,,18–25,男,在家聽得懂台語，但不會說,對話流利,書寫/閱讀臺語文無礙,"若動作為單向用 共
若動作為雙向用 佮",15,2,2,494,14,2,2,1694,7,2,2,7038,21,2,2,482,27,2,2,11381,8,3,3,2781,18,2,2,6217,23,2,2,3513,5,2,2,6954,28,2,2,14402,30,2,2,375,20,2,2,985,3,2,2,3230,24,2,2,537,19,3,3,1951,1,2,2,13314,11,4,4,525,29,4,4,2177,9,3,3,3830,2,2,2,5517,25,3,3,382,4,3,3,633,6,4,4,3071,10,4,4,446,22,2,2,8673,12,4,4,465,13,4,4,359,26,4,4,425,17,4,4,538,16,3,3,473
2026/3/28,,36–45,男,家裡以台語為主要語言，從小聽與說,對話流利,有大概學過讀寫台語文，但不常實際使用,,7,2,2,1710,9,2,2,310,19,1,1,1057,15,2,2,277,2,2,2,1109,10,2,2,390,30,2,2,136,3,2,2,1348,23,2,2,148,27,2,2,409,13,3,3,1080,21,3,3,664,11,3,3,438,5,3,3,2814,28,2,2,243,20,3,3,324,4,2,2,4758,17,2,2,194,29,2,2,475,24,2,2,696,14,3,3,1527,12,4,4,917,26,4,4,274,6,4,4,107,18,2,2,9826,8,2,2,799,22,4,4,444,25,4,4,1181,16,4,4,489,1,5,5,12796
2026/3/28,,26–35,男,家裡以台語為主要語言，從小聽與說,對話流利,有大概學過讀寫台語文，但不常實際使用,"關係者角度 與 不相關第三者 對 現象 的描述
還有 主被動 的預設有關",8,5,5,17837,16,5,5,4235,1,1,1,16391,30,1,1,219,22,1,1,307,15,1,1,267,7,1,1,4060,14,1,1,285,2,5,5,461,20,2,2,10033,28,1,1,192,12,1,1,10528,27,1,1,325,10,5,5,170,18,1,1,3397,9,1,1,3060,21,5,5,471,6,2,2,11833,13,3,3,1073,19,1,1,316,17,5,5,4095,26,5,5,3169,29,5,5,852,25,3,3,90,5,5,5,208,4,5,5,401,11,4,4,22745,3,5,5,7457,23,4,4,600,24,2,2,3257
2026/3/28,,36–45,女,家裡以台語為主要語言，從小聽與說,對話流利,有大概學過讀寫台語文，但不常實際使用,後面接比較長的（例如一個完整的句子）會選kah,4,4,4,2085,29,4,4,522,25,2,2,85,19,3,3,212,20,2,2,418,6,2,2,820,17,2,2,458,11,3,3,492,18,2,2,526,13,2,2,1664,26,2,2,1022,7,3,3,680,16,4,4,711,3,4,4,2307,8,4,4,789,12,3,3,1667,2,5,5,620,14,4,4,1636,10,3,3,1920,24,2,2,7707,27,4,4,1003,9,2,2,1477,21,4,4,468,28,4,4,9,30,2,2,514,1,5,5,14634,22,4,4,261,5,2,2,822,15,4,4,1213,23,4,4,217
2026/3/28,,18–25,女,在家聽得懂台語，但不會說,聽得懂，但不太會說,書寫/閱讀台語文無礙,主被動關係,25,2,2,720,9,2,2,753,17,3,3,504,16,2,2,501,20,2,2,517,14,3,3,96,3,2,2,2986,30,3,3,469,18,2,2,445,21,3,3,493,4,3,3,54,2,4,4,590,24,3,3,384,13,4,4,4126,11,2,2,2303,7,3,3,248,1,4,4,7361,28,4,4,7279,26,3,3,552,15,3,3,7106,23,3,3,481,19,4,4,523,8,4,4,5449,6,4,4,568,10,3,3,657,29,4,4,3007,22,3,3,475,27,4,4,1978,5,4,4,431,12,3,3,127
2026/3/28,,26–35,男,家裡以台語為主要語言，從小聽與說,可溝通，但不順暢,完全沒學過如何書寫/閱讀台語,,8,5,5,2715,21,4,4,1023,2,4,4,327,11,4,4,3284,27,5,5,466,25,5,5,188,23,5,5,425,17,5,5,339,6,5,5,1847,12,4,4,4504,18,5,5,4399,9,5,5,615,7,4,4,1005,15,4,4,325,13,4,4,2594,19,2,2,7272,4,4,4,878,29,4,4,3306,20,5,5,553,5,4,4,591,30,3,3,294,26,2,2,9730,16,5,5,130,3,5,5,872,22,5,5,1319,28,5,5,96,24,4,4,2646,10,5,5,423,14,4,4,291,1,4,4,1680
2026/3/28,,56–65,女,家裡以台語為主要語言，從小聽與說,可溝通，但不順暢,完全沒學過如何書寫/閱讀台語,"我給
我和",21,2,2,712,11,2,2,91,24,2,2,1477,12,2,2,627,28,2,2,3566,4,1,1,1752,8,2,2,669,30,2,2,159,27,2,2,2774,13,2,2,1150,1,2,2,11141,15,2,2,688,17,2,2,1368,18,2,2,2538,26,2,2,4493,19,4,4,5453,23,2,2,2068,22,2,2,1745,25,2,2,1313,6,2,2,1898,10,4,4,899,20,4,4,2254,7,4,4,758,29,4,4,239,3,2,2,10624,9,4,4,726,16,2,2,1351,2,2,2,114,14,4,4,8012,5,4,4,8391
2026/3/28,,26–35,女,家裡以台語為主要語言，從小聽與說,對話流利,完全沒學過如何書寫/閱讀台語,依據想要表達的意思不同來判斷，有些是一個人對另一個人講某事，有些情境可能是他們兩個人一起講某事，在這兩種狀況的運用方法不用同，意思不同，發音不同,14,1,1,3858,10,2,2,231,5,1,1,129,17,3,3,58,2,2,2,801,26,3,3,685,28,3,3,375,19,4,4,254,18,3,3,156,24,3,3,363,9,2,2,242,29,2,2,713,16,3,3,559,23,2,2,97,6,3,3,361,30,4,4,396,12,3,3,1195,8,5,5,456,13,3,3,170,1,3,3,517,22,4,4,914,3,5,5,644,21,3,3,324,27,5,5,373,7,5,5,215,25,4,4,157,20,4,4,278,4,5,5,252,15,4,4,1089,11,4,4,21
2026/3/28,,26–35,女,家裡以台語為主要語言，從小聽與說,可溝通，但不順暢,有大概學過讀寫台語文，但不常實際使用,,8,3,3,21112,29,4,4,378,3,3,3,4149,18,3,3,51751,23,4,4,2965,16,3,3,140,26,3,3,12724,10,3,3,3932,1,3,3,92921,22,3,3,3786,5,3,3,503,14,2,2,2922,13,4,4,6002,20,2,2,4951,27,3,3,2484,15,4,4,1300,4,3,3,17239,9,3,3,35891,17,4,4,7355,11,3,3,47575,2,3,3,3475,7,3,3,585,28,4,4,2532,21,4,4,723,12,4,4,211,30,4,4,647,24,4,4,3146,6,3,3,414,19,4,4,53072,25,4,4,552
2026/3/28,,26–35,女,家裡以台語為主要語言，從小聽與說,可溝通，但不順暢,書寫/閱讀台語文無礙,"kā是對對方怎樣怎樣，kah是一起怎樣怎樣
有些句子選都可以是因為套兩種意思都可以通，不是因為同一個意思兩種音都可以",4,2,2,6319,8,2,2,815,9,2,2,1117,3,2,2,316,22,2,2,473,16,3,3,571,15,2,2,490,11,2,2,1262,10,3,3,4917,13,2,2,649,18,3,3,48588,27,2,2,601,25,2,2,1934,14,2,2,463,30,3,3,2603,21,3,3,2260,19,2,2,436,12,2,2,521,23,2,2,940,17,2,2,653,2,3,3,3575,7,3,3,705,26,3,3,43,1,4,4,597,29,4,4,485,5,4,4,426,6,4,4,581,20,3,3,1297,24,4,4,554,28,3,3,464
2026/3/28,,26–35,男,在家聽得懂台語，但不會說,可溝通，但不順暢,書寫/閱讀台語文無礙,,16,3,3,799,13,3,3,2641,20,3,3,4314,15,3,3,3304,23,3,3,6973,6,2,2,864,3,4,4,601,17,4,4,131,4,2,2,7721,11,3,3,416,12,4,4,114,19,3,3,460,24,4,4,6580,14,2,2,11205,18,4,4,758,9,4,4,1288,7,4,4,460,2,2,2,996,25,2,2,1463,21,4,4,448,8,4,4,463,10,4,4,433,5,4,4,562,1,4,4,3563,28,4,4,464,26,4,4,22085,29,4,4,6419,30,4,4,418,27,4,4,484,22,4,4,381
2026/3/28,,26–35,女,家裡以台語為主要語言，從小聽與說,可溝通，但不順暢,有大概學過讀寫台語文，但不常實際使用,,24,2,2,29,23,2,2,240,4,2,2,604,26,3,3,2056,25,3,3,1409,16,3,3,1840,3,2,2,619,11,2,2,52,22,2,2,21,5,3,3,9074,2,2,2,853,8,3,3,4622,7,2,2,218,1,2,2,11964,14,3,3,523,27,3,3,1121,9,2,2,4979,29,2,2,19,19,4,4,1450,18,2,2,2791,6,3,3,769,20,4,4,1373,28,4,4,296,17,4,4,639,15,4,4,1247,21,4,4,279,10,4,4,559,12,4,4,704,30,4,4,84,13,3,3,5272
2026/3/28,,26–35,男,家裡以台語為主要語言，從小聽與說,對話流利,書寫/閱讀台語文無礙,,16,5,5,1108,5,3,3,1323,29,2,2,184,27,2,2,288,30,5,5,284,14,3,3,323,13,3,3,307,6,2,2,2083,18,3,3,1100,26,2,2,331,17,5,5,340,21,5,5,424,23,3,3,289,20,3,3,4034,8,3,3,2761,25,3,3,1988,15,4,4,427,10,5,5,1584,11,3,3,554,22,5,5,275,2,4,4,5456,1,4,4,18196,19,5,5,296,24,5,5,267,3,5,5,312,7,5,5,251,9,4,4,7636,4,5,5,713,28,5,5,270,12,3,3,447
2026/3/28,,26–35,女,在家聽得懂台語，但不會說,可溝通，但不順暢,有大概學過讀寫台語文，但不常實際使用,,15,2,2,267722,23,2,2,9075,6,2,2,291793,7,2,2,285088,19,1,1,265904,16,3,3,267972,22,3,3,3074,18,3,3,277424,5,3,3,779,14,2,2,237350,28,3,3,143,13,3,3,3404,2,1,1,279632,9,2,2,166961,24,3,3,1499,10,1,1,258763,25,3,3,506,27,2,2,1074,30,3,3,911,20,3,3,594,1,4,4,5224,26,3,3,434,17,3,3,270894,8,5,5,941,4,5,5,360,3,4,4,276843,21,5,5,1783,12,5,5,330,29,5,5,493,11,3,3,530
2026/3/28,,46–55,女,在家聽得懂台語，但不會說,可溝通，但不順暢,有大概學過讀寫台語文，但不常實際使用,,5,1,1,523,10,1,1,1301,19,1,1,35830,11,1,1,927,18,1,1,47073,24,3,3,1574,1,1,1,5085,20,1,1,967,17,1,1,7297,25,1,1,302,8,1,1,1042,6,1,1,1222,30,1,1,1318,28,2,2,3780,14,2,2,1421,21,1,1,728,9,2,2,2560,2,1,1,1789,3,1,1,272,15,1,1,1108,12,1,1,1276,29,3,3,336,26,3,3,77,4,5,5,2578,23,1,1,39,13,3,3,2413,22,4,4,735,7,1,1,943,27,3,3,6441,16,2,2,1139
2026/3/28,,18–25,男,家裡以台語為主要語言，從小聽與說,對話流利,書寫/閱讀台語文無礙,"kā 有單向傳遞訊息的感覺，kah 則有共同進行行為的感覺

有些句子用 kā 和 kah 皆可，但意思不同
e.g., Kā 講價數是告訴他價格；kah 志明講價數是和他講價
Kā 講英語是向他說英語；kah 志明講英語是陳述兩人是英語使用者的事實
又或者「春嬌 kā 志明講伊…」的伊應指春嬌但「春嬌 kah 志明講伊…」的伊應指第三人

有些句子用 kah 或可理解成兩人正在進行行為，但都少了 leh，不太自然",9,1,1,420,3,1,1,1586,15,3,3,279,8,1,1,325,23,1,1,1244,29,3,3,448,30,3,3,3268,12,3,3,8618,27,3,3,289,4,3,3,439,16,3,3,1107,5,2,2,1270318,26,3,3,1228061,13,3,3,1239499,28,3,3,4083,10,3,3,2014,6,2,2,1263374,24,5,5,6417,21,3,3,16946,17,3,3,566,19,2,2,1256309,1,3,3,613,11,3,3,12211,14,3,3,1284440,25,5,5,8553,20,5,5,143,7,3,3,1351,22,5,5,1265234,2,5,5,628,18,5,5,4274
2026/3/28,,26–35,女,家裡以台語為主要語言，從小聽與說,可溝通，但不順暢,有大概學過讀寫台語文，但不常實際使用,A偏向對另一個人說，B比較像兩個人一起說,28,1,1,57,9,3,3,2286,19,2,2,144,18,2,2,742,1,1,1,21364,22,2,2,10132,29,2,2,81,27,2,2,267,3,2,2,856,23,2,2,387,4,2,2,3346,7,2,2,763,11,2,2,1885,13,2,2,1470,12,2,2,23123,16,4,4,643,20,4,4,976,15,5,5,197,17,2,2,7316,21,2,2,7788,5,2,2,4269,2,5,5,1094,8,5,5,2243,14,5,5,48,26,5,5,355,6,5,5,132,25,4,4,577,30,3,3,317,10,5,5,2414,24,5,5,578
2026/3/28,,36–45,男,家裡不太講台語，長大後才學會,可溝通，但不順暢,完全沒學過如何書寫/閱讀台語,,5,3,3,5471,21,3,3,631,24,3,3,330,13,3,3,171,11,4,4,6795,23,4,4,327,4,3,3,1074,2,3,3,1321,19,3,3,2830,28,3,3,4007,17,3,3,317,8,3,3,782,25,3,3,1709,18,4,4,120,10,3,3,2293,9,3,3,142,14,3,3,285,1,3,3,9821,7,3,3,198,16,3,3,107,12,2,2,755,27,4,4,219,29,4,4,429,30,4,4,383,22,3,3,156,26,3,3,9,3,3,3,2749,20,3,3,4429,15,3,3,121,6,4,4,701
2026/3/28,,36–45,女,家裡以台語為主要語言，從小聽與說,可溝通，但不順暢,完全沒學過如何書寫/閱讀台語,"選項A比較接近「我對你說」，角色獨立性與上下關係感覺較明確
選項B比較接近「我跟你說」，角色整體性與平等關係感覺較明確
會選都可以就是「有可能兩種關係都存在」
如果內容偏向單方面輸出，就會選選項A",23,3,3,580,2,1,1,475,26,2,2,794,28,3,3,424,13,2,2,2864,25,3,3,82424,17,3,3,362,14,2,2,299,19,1,1,428,4,2,2,1825,3,3,3,11290,18,1,1,448,20,4,4,1309,21,3,3,709,24,3,3,410,22,3,3,407,5,3,3,687,15,2,2,615,29,3,3,1220,30,3,3,891,9,2,2,1057,11,5,5,1064,12,2,2,552,7,5,5,385,27,3,3,523,16,5,5,447,10,5,5,455,6,4,4,406,1,5,5,2455,8,5,5,453
2026/3/28,,46–55,女,家裡以台語為主要語言，從小聽與說,對話流利,書寫/閱讀台語文無礙,"如果只有一種意思，我會認為有較正確的答案，但有時A B兩者各有意涵，我會選擇「都可以」。例如「春嬌講故事給志明聽」和「春嬌和志明（一起）說故事」。前者是「共」後者是「佮」。
若是干焦一款意思，我會認為有相對較好的答案，毋過有當時仔A B兩句攏有伊的意思，我會選「攏會使」。譬論講「春嬌講故事給志明聽」佮「春嬌和志明（一起）說故事」。頭前句是「共」後壁句是「佮」。",9,1,1,586,18,1,1,89,29,3,3,264,17,2,2,19448,6,1,1,1059,3,1,1,789,12,1,1,429,19,1,1,466,7,1,1,471,14,1,1,535,15,1,1,2183,16,3,3,6311,1,1,1,1240,26,1,1,239,13,3,3,201,27,3,3,38,21,3,3,340,22,5,5,4352,20,3,3,158,28,3,3,631,5,3,3,3156,30,5,5,1184,4,5,5,770,23,5,5,101,8,5,5,482,2,5,5,798,25,5,5,449,11,5,5,533,24,4,4,1208,10,3,3,220
2026/3/28,,18–25,女,在家聽得懂台語，但不會說,可溝通，但不順暢,完全沒學過如何書寫/閱讀台語,無,28,5,5,4903,8,5,5,438,24,1,1,2743,15,5,5,371,4,5,5,1321,9,5,5,509,5,5,5,450,7,5,5,6332,2,5,5,446,18,2,2,1224,6,1,1,42072,27,5,5,2514,17,2,2,3041,20,5,5,393,13,5,5,399,21,1,1,19614,14,5,5,435,26,1,1,3851,10,5,5,472,3,5,5,1388,23,5,5,467,19,5,5,492,12,5,5,412,11,4,4,1449,29,1,1,1691,1,5,5,673,16,2,2,30329,30,5,5,9583,25,5,5,492,22,5,5,8094
